LoanAmount,City,State,Zip,NAICSCode,BusinessType,JobsReported,DateApproved,MonthApproved,Lender,CD,NAICSCodeDefinition
39915,PAIA,HI,96779,311811,Subchapter S Corporation,0,2020-04-14T00:00:00Z,April,Bank of Hawaii,HI-02,Retail Bakeries
39907,KAILUA-KONA,HI,96740,722511,Corporation,5,2020-04-27T00:00:00Z,April,Bank of Hawaii,HI-02,Full-Service Restaurants
39900,MILILANI,HI,96789,722511,Limited  Liability Company(LLC),12,2020-04-06T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Full-Service Restaurants
39900,HONOLULU,HI,96813,541110,Partnership,4,2020-04-07T00:00:00Z,April,Central Pacific Bank,HI-01,Offices of Lawyers
39900,WAIANAE,HI,96792,713910,Limited  Liability Company(LLC),4,2020-04-07T00:00:00Z,April,"American Savings Bank, FSB",HI-02,Golf Courses and Country Clubs
39900,AIEA,HI,96701,561720,Subchapter S Corporation,7,2020-04-08T00:00:00Z,April,First Hawaiian Bank,HI-01,Janitorial Services
39900,WAIPAHU,HI,96797,621111,Corporation,4,2020-04-28T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Offices of Physicians (except Mental Health Specialists)
39900,KAHULUI,HI,96732,722513,Corporation,7,2020-05-02T00:00:00Z,May,"American Savings Bank, FSB",HI-02,Limited-Service Restaurants
39900,HONOLULU,HI,96813,541211,Sole Proprietorship,3,2020-04-09T00:00:00Z,April,Central Pacific Bank,HI-01,Offices of Certified Public Accountants
39895,KANEOHE,HI,96744,441310,Corporation,3,2020-04-30T00:00:00Z,April,First Hawaiian Bank,HI-02,Automotive Parts and Accessories Stores
39890,HONOLULU,HI,96819,561510,Limited  Liability Company(LLC),11,2020-05-22T00:00:00Z,May,First Hawaiian Bank,HI-01,Travel Agencies
39887,LIHUE,HI,96766,621610,Subchapter S Corporation,2,2020-05-18T00:00:00Z,May,Intuit Financing Inc.,HI-02,Home Health Care Services
39872,AIEA,HI,96701,621111,Limited  Liability Company(LLC),3,2020-04-05T00:00:00Z,April,Central Pacific Bank,HI-01,Offices of Physicians (except Mental Health Specialists)
39829,HONOLULU,HI,96826,531311,Corporation,6,2020-05-20T00:00:00Z,May,First Hawaiian Bank,HI-01,Residential Property Managers
39825,KAILUA KONA,HI,96740,999990,Subchapter S Corporation,6,2020-04-29T00:00:00Z,April,Intuit Financing Inc.,HI-02,Not found
39822.5,KAHULUI,HI,96732,236118,Limited  Liability Company(LLC),2,2020-05-21T00:00:00Z,May,First Hawaiian Bank,HI-02,Residential Remodelers
39812.5,HONOLULU,HI,96816,812112,Subchapter S Corporation,12,2020-04-28T00:00:00Z,April,First Hawaiian Bank,HI-01,Beauty Salons
39800,LIHUE,HI,96766,541430,Limited  Liability Company(LLC),9,2020-04-11T00:00:00Z,April,"American Savings Bank, FSB",HI-02,Graphic Design Services
39800,KALAHEO,HI,96741,811111,Subchapter S Corporation,4,2020-04-30T00:00:00Z,April,First Hawaiian Bank,HI-02,General Automotive Repair
39800,HONOLULU,HI,96814,621210,Limited  Liability Company(LLC),5,2020-04-06T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Offices of Dentists
39800,LIHUE,HI,96766,811121,Sole Proprietorship,5,2020-04-27T00:00:00Z,April,Kaua'i Government Employees' FCU,HI-02,"Automotive Body, Paint, and Interior Repair and Maintenance"
39800,KANEOHE,HI,96744,611692,Corporation,3,2020-04-07T00:00:00Z,April,"American Savings Bank, FSB",HI-02,Automobile Driving Schools
39800,KIHEI,HI,96753,722410,Corporation,16,2020-04-08T00:00:00Z,April,Central Pacific Bank,HI-02,Drinking Places (Alcoholic Beverages)
39800,PEARL CITY,HI,96782,236118,Corporation,7,2020-04-09T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Residential Remodelers
39747.5,KAILUA,HI,96734,236118,Subchapter S Corporation,3,2020-06-05T00:00:00Z,June,First Hawaiian Bank,HI-02,Residential Remodelers
39703.75,LAUPAHOEHOE,HI,96764,624120,Non-Profit Organization,11,2020-05-13T00:00:00Z,May,First Hawaiian Bank,HI-02,Services for the Elderly and Persons with Disabilities
39700,HONOLULU,HI,96814,524210,Limited  Liability Company(LLC),3,2020-05-04T00:00:00Z,May,Hawaii National Bank,HI-01,Insurance Agencies and Brokerages
39700,HONOLULU,HI,96817,621111,Sole Proprietorship,4,2020-05-22T00:00:00Z,May,Ohana Pacific Bank,HI-01,Offices of Physicians (except Mental Health Specialists)
39700,HONOLULU,HI,96821,524114,Corporation,3,2020-04-10T00:00:00Z,April,First Hawaiian Bank,HI-01,Direct Health and Medical Insurance Carriers
39700,AIEA,HI,96701,621111,Limited  Liability Company(LLC),4,2020-04-13T00:00:00Z,April,Central Pacific Bank,HI-01,Offices of Physicians (except Mental Health Specialists)
39700,HONOLULU,HI,96822,811490,Sole Proprietorship,0,2020-05-13T00:00:00Z,May,Central Pacific Bank,HI-01,Other Personal and Household Goods Repair and Maintenance
39700,HONOLULU,HI,96813,621111,Corporation,3,2020-04-07T00:00:00Z,April,Bank of Hawaii,HI-01,Offices of Physicians (except Mental Health Specialists)
39700,WAIPAHU,HI,96797,238150,Limited  Liability Company(LLC),4,2020-04-07T00:00:00Z,April,Central Pacific Bank,HI-01,Glass and Glazing Contractors
39700,HONOLULU,HI,96815,722511,Corporation,0,2020-06-05T00:00:00Z,June,Central Pacific Bank,HI-01,Full-Service Restaurants
39700,PEARL CITY,HI,96782,531210,Independent Contractors,1,2020-04-09T00:00:00Z,April,Central Pacific Bank,HI-01,Offices of Real Estate Agents and Brokers
39675,KEALAKEKUA,HI,96750,445299,Limited  Liability Company(LLC),0,2020-04-10T00:00:00Z,April,Bank of Hawaii,HI-02,All Other Specialty Food Stores
39670,LIHUE,HI,96766,541310,Limited  Liability Company(LLC),1,2020-05-01T00:00:00Z,May,Kaua'i Government Employees' FCU,HI-02,Architectural Services
39650,HONOLULU,HI,96825,812910,Limited  Liability Company(LLC),7,2020-04-30T00:00:00Z,April,First Hawaiian Bank,HI-01,Pet Care (except Veterinary) Services
39650,KAILUA KONA,HI,96740,722511,Corporation,0,2020-07-28T00:00:00Z,July,"FC Marketplace, LLC (dba Funding Circle)",HI-02,Full-Service Restaurants
39642,HONOLULU,HI,96813,236117,Limited  Liability Company(LLC),0,2020-04-27T00:00:00Z,April,Bank of Hawaii,HI-01,New Housing For-Sale Builders
39635,HONOLULU,HI,96813,621112,Limited  Liability Company(LLC),2,2020-04-30T00:00:00Z,April,First Hawaiian Bank,HI-01,"Offices of Physicians, Mental Health Specialists"
39627,WAHIAWA,HI,96786,236118,Limited  Liability Company(LLC),5,2020-05-07T00:00:00Z,May,Bank of Hawaii,HI-02,Residential Remodelers
39600,HONOLULU,HI,96814,453998,Corporation,10,2020-04-29T00:00:00Z,April,Ohana Pacific Bank,HI-01,All Other Miscellaneous Store Retailers (except Tobacco Stores)
39600,HAWI,HI,96719,448310,Corporation,0,2020-04-12T00:00:00Z,April,Bank of Hawaii,HI-02,Jewelry Stores
39600,HONOLULU,HI,96814,621320,Limited  Liability Company(LLC),5,2020-04-04T00:00:00Z,April,Central Pacific Bank,HI-01,Offices of Optometrists
39600,HONOLULU,HI,96814,611691,Corporation,8,2020-04-05T00:00:00Z,April,Central Pacific Bank,HI-01,Exam Preparation and Tutoring
39585,HONOLULU,HI,96813,541110,Sole Proprietorship,0,2020-04-13T00:00:00Z,April,Bank of Hawaii,HI-01,Offices of Lawyers
39560,AIEA,HI,96701,813910,Non-Profit Organization,0,2020-04-13T00:00:00Z,April,Bank of Hawaii,HI-01,Business Associations
39510,MAKAWAO,HI,96768,711310,Limited  Liability Company(LLC),3,2020-04-29T00:00:00Z,April,Bank of Hawaii,HI-02,"Promoters of Performing Arts, Sports, and Similar Events with Facilities"
39500,PEARL CITY,HI,96782,999990,Corporation,5,2020-04-28T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Not found
39500,HONOLULU,HI,96826,111110,Corporation,0,2020-04-29T00:00:00Z,April,Central Pacific Bank,HI-01,Soybean Farming
39500,HONOLULU,HI,96818,812113,Corporation,3,2020-04-06T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Nail Salons
39500,KIHEI,HI,96753,531210,Corporation,5,2020-04-06T00:00:00Z,April,"American Savings Bank, FSB",HI-02,Offices of Real Estate Agents and Brokers
39500,HONOLULU,HI,96816,541611,Limited  Liability Company(LLC),2,2020-04-06T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Administrative Management and General Management Consulting Services
39500,EWA BEACH,HI,96706,722513,Corporation,14,2020-04-28T00:00:00Z,April,Hawaii National Bank,HI-01,Limited-Service Restaurants
39478,KAILUA KONA,HI,96740,811111,Corporation,6,2020-04-30T00:00:00Z,April,Hawaii Community FCU,HI-02,General Automotive Repair
39475,HALEIWA,HI,96712,811412,Non-Profit Organization,0,2020-04-15T00:00:00Z,April,Bank of Hawaii,HI-02,Appliance Repair and Maintenance
39460,HONOLULU,HI,96817,722511,Limited  Liability Company(LLC),0,2020-04-15T00:00:00Z,April,Bank of Hawaii,HI-01,Full-Service Restaurants
39445,HONOLULU,HI,96819,424310,Limited  Liability Company(LLC),3,2020-04-10T00:00:00Z,April,Bank of Hawaii,HI-01,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers"
39421,HONOLULU,HI,96814,621399,Corporation,0,2020-05-02T00:00:00Z,May,Central Pacific Bank,HI-01,Offices of All Other Miscellaneous Health Practitioners
39402,AIEA,HI,96701,484110,Corporation,0,2020-05-15T00:00:00Z,May,Bank of Hawaii,HI-01,"General Freight Trucking, Local"
39400,WAIKOLOA,HI,96738,722513,Limited  Liability Company(LLC),9,2020-04-28T00:00:00Z,April,"American Savings Bank, FSB",HI-02,Limited-Service Restaurants
39400,HONOLULU,HI,96813,531210,Limited  Liability Company(LLC),2,2020-04-05T00:00:00Z,April,Bank of Hawaii,HI-01,Offices of Real Estate Agents and Brokers
39400,WAILUKU,HI,96793,541430,Corporation,5,2020-04-06T00:00:00Z,April,"American Savings Bank, FSB",HI-02,Graphic Design Services
39400,KILAUEA,HI,96754,561730,Corporation,4,2020-04-13T00:00:00Z,April,First Hawaiian Bank,HI-02,Landscaping Services
39400,HONOLULU,HI,96817,813110,Non-Profit Organization,4,2020-04-30T00:00:00Z,April,Hawaii National Bank,HI-01,Religious Organizations
39400,HONOLULU,HI,96819,811198,Corporation,3,2020-04-07T00:00:00Z,April,Central Pacific Bank,HI-01,All Other Automotive Repair and Maintenance
39400,MILILANI,HI,96789,541611,Limited  Liability Company(LLC),5,2020-04-07T00:00:00Z,April,Central Pacific Bank,HI-01,Administrative Management and General Management Consulting Services
39400,HONOLULU,HI,96819,311920,Corporation,6,2020-04-14T00:00:00Z,April,Central Pacific Bank,HI-01,Coffee and Tea Manufacturing
39392.5,HONOLULU,HI,96830,487210,Limited  Liability Company(LLC),5,2020-04-29T00:00:00Z,April,First Hawaiian Bank,HI-01,"Scenic and Sightseeing Transportation, Water"
39387.5,HONOLULU,HI,96814,621111,Corporation,3,2020-04-28T00:00:00Z,April,First Hawaiian Bank,HI-01,Offices of Physicians (except Mental Health Specialists)
39358,HONOLULU,HI,96826,621112,Sole Proprietorship,0,2020-04-30T00:00:00Z,April,Central Pacific Bank,HI-01,"Offices of Physicians, Mental Health Specialists"
39348,HONOLULU,HI,96819,811310,Corporation,0,2020-05-01T00:00:00Z,May,Central Pacific Bank,HI-01,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance
39340,HILO,HI,96720,621111,Corporation,4,2020-05-28T00:00:00Z,May,Bank of Hawaii,HI-02,Offices of Physicians (except Mental Health Specialists)
39334,PEARL CITY,HI,96782,238330,Limited  Liability Company(LLC),0,2020-04-28T00:00:00Z,April,Central Pacific Bank,HI-01,Flooring Contractors
39325,HONOLULU,HI,96813,541611,Limited  Liability Company(LLC),3,2020-04-15T00:00:00Z,April,Cross River Bank,HI-01,Administrative Management and General Management Consulting Services
39320,HONOLULU,HI,96814,611511,Limited  Liability Company(LLC),6,2020-06-17T00:00:00Z,June,First Hawaiian Bank,HI-01,Cosmetology and Barber Schools
39300,HILO,HI,96720,621111,Corporation,7,2020-05-07T00:00:00Z,May,Central Pacific Bank,HI-02,Offices of Physicians (except Mental Health Specialists)
39300,PEARL CITY,HI,96782,722513,Limited  Liability Company(LLC),10,2020-04-15T00:00:00Z,April,Central Pacific Bank,HI-01,Limited-Service Restaurants
39300,WAIALUA,HI,96791,531210,Self-Employed Individuals,0,2020-05-01T00:00:00Z,May,Central Pacific Bank,HI-02,Offices of Real Estate Agents and Brokers
39295,KAILUA KONA,HI,96740,443141,Corporation,6,2020-04-29T00:00:00Z,April,Hawaii Community FCU,HI-02,Household Appliance Stores
39290,KEAAU,HI,96749,236115,Corporation,4,2020-04-10T00:00:00Z,April,Bank of Hawaii,HI-02,New Single-Family Housing Construction (except For-Sale Builders)
39277.5,HONOLULU,HI,96816,488410,Corporation,10,2020-04-28T00:00:00Z,April,First Hawaiian Bank,HI-01,Motor Vehicle Towing
39277,HONOLULU,HI,96815,541613,Corporation,5,2020-04-28T00:00:00Z,April,First Hawaiian Bank,HI-01,Marketing Consulting Services
39250,KAILUA KONA,HI,96740,561520,Corporation,0,2020-04-11T00:00:00Z,April,Bank of Hawaii,HI-02,Tour Operators
39250,HONOLULU,HI,96821,812990,Corporation,3,2020-04-27T00:00:00Z,April,Bank of Hawaii,HI-01,All Other Personal Services
39245,KIHEI,HI,96753,561410,Limited  Liability Company(LLC),3,2020-04-30T00:00:00Z,April,First Hawaiian Bank,HI-02,Document Preparation Services
39242.5,HONOLULU,HI,96816,312120,Limited  Liability Company(LLC),11,2020-04-28T00:00:00Z,April,First Hawaiian Bank,HI-01,Breweries
39242,MILILANI,HI,96789,453910,Limited  Liability Company(LLC),4,2020-04-27T00:00:00Z,April,Bank of Hawaii,HI-01,Pet and Pet Supplies Stores
39237.5,LIHUE,HI,96766,621320,Limited  Liability Company(LLC),1,2020-04-28T00:00:00Z,April,First Hawaiian Bank,HI-02,Offices of Optometrists
39235,KOLOA,HI,96756,487210,Limited  Liability Company(LLC),5,2020-04-28T00:00:00Z,April,First Hawaiian Bank,HI-02,"Scenic and Sightseeing Transportation, Water"
39202.5,HONOLULU,HI,96819,423730,Subchapter S Corporation,5,2020-04-28T00:00:00Z,April,First Hawaiian Bank,HI-01,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers
39200,WAILUKU,HI,96793,621210,Corporation,0,2020-05-04T00:00:00Z,May,Central Pacific Bank,HI-02,Offices of Dentists
39200,KAILUA,HI,96734,541214,Limited  Liability Company(LLC),3,2020-04-29T00:00:00Z,April,Hawaii National Bank,HI-02,Payroll Services
39200,HONOLULU,HI,96813,541990,Limited  Liability Company(LLC),3,2020-04-05T00:00:00Z,April,Central Pacific Bank,HI-01,"All Other Professional, Scientific, and Technical Services"
39200,HONOLULU,HI,96816,621210,Corporation,4,2020-04-07T00:00:00Z,April,First Hawaiian Bank,HI-01,Offices of Dentists
39200,KAILUA,HI,96734,811121,Subchapter S Corporation,3,2020-04-30T00:00:00Z,April,"American Savings Bank, FSB",HI-02,"Automotive Body, Paint, and Interior Repair and Maintenance"
39195,MAKAWAO,HI,96768,621111,Corporation,0,2020-04-12T00:00:00Z,April,Bank of Hawaii,HI-02,Offices of Physicians (except Mental Health Specialists)
39150,KAMUELA,HI,96743,561720,Limited  Liability Company(LLC),4,2020-04-27T00:00:00Z,April,Bank of Hawaii,HI-02,Janitorial Services
39145,HONOLULU,HI,96826,813312,Non-Profit Organization,0,2020-05-18T00:00:00Z,May,Bank of Hawaii,HI-01,"Environment, Conservation and Wildlife Organizations"
39130,WAHIAWA,HI,96786,621340,Subchapter S Corporation,0,2020-04-13T00:00:00Z,April,Bank of Hawaii,HI-02,"Offices of Physical, Occupational and Speech Therapists, and Audiologists"
39127,WAILUKU,HI,96793,811111,Limited  Liability Company(LLC),3,2020-04-27T00:00:00Z,April,Bank of Hawaii,HI-02,General Automotive Repair
39110,HONOLULU,HI,96814,541330,Limited  Liability Company(LLC),0,2020-04-16T00:00:00Z,April,Bank of Hawaii,HI-01,Engineering Services
39105,HONOLULU,HI,96817,313310,Limited  Liability Company(LLC),0,2020-04-12T00:00:00Z,April,Bank of Hawaii,HI-01,Textile and Fabric Finishing Mills
39100,HONOLULU,HI,96822,238220,Corporation,0,2020-04-15T00:00:00Z,April,Central Pacific Bank,HI-01,"Plumbing, Heating, and Air-Conditioning Contractors"
39100,HONOLULU,HI,96816,722511,Corporation,5,2020-04-29T00:00:00Z,April,Hawaii National Bank,HI-01,Full-Service Restaurants
39100,HONOLULU,HI,96813,722513,Limited  Liability Company(LLC),8,2020-04-04T00:00:00Z,April,Central Pacific Bank,HI-01,Limited-Service Restaurants
39100,HONOLULU,HI,96818,238210,Corporation,4,2020-04-30T00:00:00Z,April,Ohana Pacific Bank,HI-01,Electrical Contractors and Other Wiring Installation Contractors
39100,HONOLULU,HI,96819,236115,Corporation,0,2020-04-05T00:00:00Z,April,"American Savings Bank, FSB",HI-01,New Single-Family Housing Construction (except For-Sale Builders)
39100,HONOLULU,HI,96813,813212,Non-Profit Organization,3,2020-04-14T00:00:00Z,April,Central Pacific Bank,HI-01,Voluntary Health Organizations
39100,HONOLULU,HI,96814,811121,Corporation,5,2020-04-07T00:00:00Z,April,"American Savings Bank, FSB",HI-01,"Automotive Body, Paint, and Interior Repair and Maintenance"
39100,KULA,HI,96790,311999,Corporation,4,2020-04-08T00:00:00Z,April,First Hawaiian Bank,HI-02,All Other Miscellaneous Food Manufacturing
39072.5,KIHEI,HI,96753,722511,Corporation,7,2020-05-02T00:00:00Z,May,First Hawaiian Bank,HI-02,Full-Service Restaurants
39070,HONOLULU,HI,96817,621111,Limited  Liability Company(LLC),0,2020-05-16T00:00:00Z,May,Central Pacific Bank,HI-01,Offices of Physicians (except Mental Health Specialists)
39062.5,HONOLULU,HI,96813,621111,Corporation,3,2020-04-13T00:00:00Z,April,Bank of Hawaii,HI-01,Offices of Physicians (except Mental Health Specialists)
39057,KIHEI,HI,96753,722511,Limited  Liability Company(LLC),7,2020-05-02T00:00:00Z,May,First Hawaiian Bank,HI-02,Full-Service Restaurants
39050,LIHUE,HI,96766,488410,Limited  Liability Company(LLC),7,2020-04-27T00:00:00Z,April,Bank of Hawaii,HI-02,Motor Vehicle Towing
39042,HILO,HI,96720,621391,Limited  Liability Company(LLC),13,2020-05-11T00:00:00Z,May,"Kabbage, Inc.",HI-02,Offices of Podiatrists
39035,LIHUE,HI,96766,238910,Limited  Liability Company(LLC),2,2020-04-28T00:00:00Z,April,Gather FCU,HI-02,Site Preparation Contractors
39032.5,HILO,HI,96720,524210,Subchapter S Corporation,4,2020-05-04T00:00:00Z,May,First Hawaiian Bank,HI-02,Insurance Agencies and Brokerages
39025,KAPOLEI,HI,96707,442110,Corporation,0,2020-04-14T00:00:00Z,April,Bank of Hawaii,HI-02,Furniture Stores
39004,KAILUA,HI,96734,424480,Subchapter S Corporation,0,2020-06-22T00:00:00Z,June,Bank of Hawaii,HI-02,Fresh Fruit and Vegetable Merchant Wholesalers
39000,HO'OLEHUA,HI,96729,311611,Cooperative,8,2020-04-15T00:00:00Z,April,Greater Nevada CU,HI-02,Animal (except Poultry) Slaughtering
39000,KAILUA KONA,HI,96740,722513,Corporation,17,2020-05-25T00:00:00Z,May,"American Savings Bank, FSB",HI-02,Limited-Service Restaurants
39000,HONOLULU,HI,96819,423930,Corporation,5,2020-04-27T00:00:00Z,April,First Hawaiian Bank,HI-01,Recyclable Material Merchant Wholesalers
39000,WAHIAWA,HI,96786,621210,Corporation,4,2020-04-05T00:00:00Z,April,Central Pacific Bank,HI-02,Offices of Dentists
39000,KAILUA,HI,96734,722513,Limited  Liability Company(LLC),0,2020-04-30T00:00:00Z,April,Central Pacific Bank,HI-02,Limited-Service Restaurants
39000,HONOLULUOLULU,HI,96814,454210,Sole Proprietorship,0,2020-04-14T00:00:00Z,April,Central Pacific Bank,HI-01,Vending Machine Operators
39000,HONOLULU,HI,96821,722513,Corporation,11,2020-04-07T00:00:00Z,April,Ohana Pacific Bank,HI-01,Limited-Service Restaurants
39000,HONOLULU,HI,96816,722511,Corporation,18,2020-04-15T00:00:00Z,April,Central Pacific Bank,HI-01,Full-Service Restaurants
39000,HONOLULU,HI,96817,722310,Limited  Liability Company(LLC),4,2020-04-08T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Food Service Contractors
39000,HONOLULU,HI,96814,621111,Corporation,4,2020-04-09T00:00:00Z,April,Central Pacific Bank,HI-01,Offices of Physicians (except Mental Health Specialists)
39000,WAHIAWA,HI,96786,311920,Limited  Liability Company(LLC),19,2020-04-09T00:00:00Z,April,Central Pacific Bank,HI-02,Coffee and Tea Manufacturing
39000,LAHAINA,HI,96761,236118,Corporation,2,2020-05-01T00:00:00Z,May,First Hawaiian Bank,HI-02,Residential Remodelers
38990,HONOLULU,HI,96817,447110,Corporation,7,2020-04-28T00:00:00Z,April,First Hawaiian Bank,HI-01,Gasoline Stations with Convenience Stores
38988,HONOLULU,HI,96813,541110,Sole Proprietorship,1,2020-04-14T00:00:00Z,April,Central Pacific Bank,HI-01,Offices of Lawyers
38982.5,HONOLULU,HI,96814,487110,Corporation,10,2020-04-30T00:00:00Z,April,First Hawaiian Bank,HI-01,"Scenic and Sightseeing Transportation, Land"
38977.5,WAIPAHU,HI,96797,524210,Corporation,3,2020-05-07T00:00:00Z,May,First Hawaiian Bank,HI-01,Insurance Agencies and Brokerages
38922.5,HONOLULU,HI,96814,621111,Limited  Liability Company(LLC),5,2020-04-27T00:00:00Z,April,First Hawaiian Bank,HI-01,Offices of Physicians (except Mental Health Specialists)
38920,PEARL CITY,HI,96782,541870,Corporation,4,2020-05-12T00:00:00Z,May,Bank of Hawaii,HI-01,Advertising Material Distribution Services
38912,HILO,HI,96720,541990,Non-Profit Organization,3,2020-04-30T00:00:00Z,April,First Hawaiian Bank,HI-02,"All Other Professional, Scientific, and Technical Services"
38900,LAUPAHOEHOE,HI,96764,484220,Sole Proprietorship,8,2020-04-10T00:00:00Z,April,"American Savings Bank, FSB",HI-02,"Specialized Freight (except Used Goods) Trucking, Local"
38900,KAPOLEI,HI,96707,812112,Corporation,6,2020-04-10T00:00:00Z,April,Central Pacific Bank,HI-02,Beauty Salons
38900,LAHAINA,HI,96761,999990,Limited  Liability Company(LLC),7,2020-04-28T00:00:00Z,April,"American Savings Bank, FSB",HI-02,Not found
38900,LIHUE,HI,96766,722410,Limited  Liability Company(LLC),12,2020-04-29T00:00:00Z,April,"American Savings Bank, FSB",HI-02,Drinking Places (Alcoholic Beverages)
38900,HONOLULU,HI,96825,811111,Limited  Liability Company(LLC),1,2020-04-10T00:00:00Z,April,"American Savings Bank, FSB",HI-01,General Automotive Repair
38900,HONOLULU,HI,96814,813110,Non-Profit Organization,5,2020-04-12T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Religious Organizations
38900,HONOLULU,HI,96813,531210,Corporation,4,2020-04-30T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Offices of Real Estate Agents and Brokers
38900,HONOLULU,HI,96815,812990,Limited  Liability Company(LLC),10,2020-04-13T00:00:00Z,April,First Hawaiian Bank,HI-01,All Other Personal Services
38900,KAILUA KONA,HI,96740,487210,Corporation,4,2020-04-27T00:00:00Z,April,"American Savings Bank, FSB",HI-02,"Scenic and Sightseeing Transportation, Water"
38900,WAIANAE,HI,96792,445230,Corporation,6,2020-04-06T00:00:00Z,April,"American Savings Bank, FSB",HI-02,Fruit and Vegetable Retailers
38900,HONOLULU,HI,96815,448190,Corporation,7,2020-04-27T00:00:00Z,April,First Hawaiian Bank,HI-01,Other Clothing Stores
38895,KIHEI,HI,96753,531311,Corporation,4,2020-05-22T00:00:00Z,May,First Hawaiian Bank,HI-02,Residential Property Managers
38895,KANEOHE,HI,96744,623110,Limited  Liability Company(LLC),9,2020-04-28T00:00:00Z,April,Bank of Hawaii,HI-02,Nursing Care Facilities (Skilled Nursing Facilities)
38872.5,KANEOHE,HI,96744,711120,Non-Profit Organization,4,2020-04-30T00:00:00Z,April,First Hawaiian Bank,HI-02,Dance Companies
38854,KALAHEO,HI,96741,238320,Limited  Liability Company(LLC),5,2020-06-17T00:00:00Z,June,First Hawaiian Bank,HI-02,Painting and Wall Covering Contractors
38822,HONOLULU,HI,96817,624190,Non-Profit Organization,0,2020-04-27T00:00:00Z,April,Bank of Hawaii,HI-01,Other Individual and Family Services
38807,HONOLULU,HI,96813,541512,Corporation,6,2020-04-28T00:00:00Z,April,First Hawaiian Bank,HI-01,Computer Systems Design Services
38800,HILO,HI,96720,713940,Limited  Liability Company(LLC),21,2020-04-10T00:00:00Z,April,First Hawaiian Bank,HI-02,Fitness and Recreational Sports Centers
38800,HONOLULU,HI,96819,441310,Limited  Liability Company(LLC),7,2020-04-10T00:00:00Z,April,First Hawaiian Bank,HI-01,Automotive Parts and Accessories Stores
38800,HILO,HI,96720,621210,Corporation,3,2020-04-11T00:00:00Z,April,First Hawaiian Bank,HI-02,Offices of Dentists
38800,HONOLULU,HI,96814,999990,Corporation,3,2020-04-12T00:00:00Z,April,Central Pacific Bank,HI-01,Not found
38800,AIEA,HI,96701,813930,Corporation,8,2020-04-05T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Labor Unions and Similar Labor Organizations
38800,WAILUKU,HI,96793,621340,Sole Proprietorship,3,2020-04-07T00:00:00Z,April,"American Savings Bank, FSB",HI-02,"Offices of Physical, Occupational and Speech Therapists, and Audiologists"
38800,KAILUA,HI,96734,541890,Limited  Liability Company(LLC),1,2020-04-30T00:00:00Z,April,Hawaii National Bank,HI-02,Other Services Related to Advertising
38800,HONOLULU,HI,96813,313210,Corporation,6,2020-04-14T00:00:00Z,April,Hawaii National Bank,HI-01,Broadwoven Fabric Mills
38800,MILILANI,HI,96789,531311,Limited  Liability Company(LLC),4,2020-04-07T00:00:00Z,April,Central Pacific Bank,HI-01,Residential Property Managers
38800,HONOLULU,HI,96816,238320,Subchapter S Corporation,4,2020-04-09T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Painting and Wall Covering Contractors
38788,KIHEI,HI,96753,813110,Non-Profit Organization,4,2020-04-27T00:00:00Z,April,Bank of Hawaii,HI-02,Religious Organizations
38785,WAILUKU,HI,96793,721110,Corporation,0,2020-04-13T00:00:00Z,April,Bank of Hawaii,HI-02,Hotels (except Casino Hotels) and Motels
38772,HAKALAU,HI,96710,541618,Limited  Liability Company(LLC),0,2020-05-06T00:00:00Z,May,Bank of Hawaii,HI-02,Other Management Consulting Services
38709,WAIPAHU,HI,96797,722511,Corporation,0,2020-05-01T00:00:00Z,May,Central Pacific Bank,HI-01,Full-Service Restaurants
38700,HANALEI,HI,96714,448190,Corporation,37,2020-04-10T00:00:00Z,April,First Hawaiian Bank,HI-02,Other Clothing Stores
38700,ELEELE,HI,96705,811111,Sole Proprietorship,5,2020-04-30T00:00:00Z,April,First Hawaiian Bank,HI-02,General Automotive Repair
38700,HONOLULU,HI,96825,425120,Corporation,3,2020-04-27T00:00:00Z,April,First Hawaiian Bank,HI-01,Wholesale Trade Agents and Brokers
38700,MAKAWAO,HI,96768,621210,Limited  Liability Company(LLC),2,2020-04-06T00:00:00Z,April,"American Savings Bank, FSB",HI-02,Offices of Dentists
38700,HONOLULU,HI,96814,445291,Limited  Liability Company(LLC),7,2020-04-07T00:00:00Z,April,First Hawaiian Bank,HI-01,Baked Goods Retailers
38700,KAMUELA,HI,96743,236118,Sole Proprietorship,0,2020-04-30T00:00:00Z,April,"American Savings Bank, FSB",HI-02,Residential Remodelers
